SchoolCode,SchoolName,SchoolType,Grade,TotalEnrollment,FirstLanguageNotEnglish,PctFirstLanguageNotEnglish,EnglishLanguageLearner,PctEnglishLanguageLearner,StudentsWithDisabilities,PctStudentsWithDisabilities,HighNeeds,PctHighNeeds,EconomicallyDisadvantaged,PctEconomicallyDisadvantaged,TotalNoOfClasses,AverageClassSize,NumberOfStudents,SalaryTotals,AverageSalary,FTECount,InDistrictExpenditures,TotalInDistrictFTEs,AverageInDistrictExpendituresPerPupil,TotalExpenditures,TotalPupilFTEs,AverageExpendituresPerPupil,AccountabilityAndAssistanceLevel,AccountabilityAndAssistanceDescription,SchoolAccountablityPercentile,ProgressAndPerformanceAll,ProgressAndPerformanceHighNeeds,DistrictAccountability,DistrictProgressAndPerformanceAll,DistrictProgressAndPerformanceHighNeeds
2120030,Community,Public School,"K,01,02,03,04,05",337,40,11.9,31,9.2,94,27.9,202,59.9,134,39.8,91,13.2,314,20924567,72079,290,49054819.38,4557.4,10763.77,52964675.28,4710,11245.15,Level 2,Not meeting gap narrowing goals,46,60,83,Level 2,67,58
2120305,North Attleborough Middle,Public School,"06,07,08",1073,59,5.5,25,2.3,155,14.4,282,26.3,145,13.5,544,20.3,1151,20924567,72079,290,49054819.38,4557.4,10763.77,52964675.28,4710,11245.15,Level 2,Not meeting gap narrowing goals,74,54,58,Level 2,67,58
2120505,North Attleboro High,Public School,"09,10,11,12",1163,62,5.3,18,1.5,140,12,257,22.1,144,12.4,612,16.9,1182,20924567,72079,290,49054819.38,4557.4,10763.77,52964675.28,4710,11245.15,Level 2,Not meeting gap narrowing goals,54,77,50,Level 2,67,58
2130003,Lincoln Street,Public School,"K,01,02,03,04,05",261,27,10.3,23,8.8,40,15.3,76,29.1,32,12.3,63,17.6,267,10974842,78504,140,25318892.43,1797.9,14082.48,27422201.54,1846.8,14848.5,Level 2,Not meeting gap narrowing goals,71,68,65,Level 2,61,64
2130014,Marguerite E Peaslee,Public School,"K,01,02,03,04,05",269,50,18.6,20,7.4,47,17.5,77,28.6,22,8.2,59,20.4,287,10974842,78504,140,25318892.43,1797.9,14082.48,27422201.54,1846.8,14848.5,Level 2,Not meeting gap narrowing goals,70,62,,Level 2,61,64
2130015,Fannie E Proctor,Public School,"K,01,02,03,04,05",239,53,22.2,13,5.4,37,15.5,80,33.5,43,18,64,17.6,270,10974842,78504,140,25318892.43,1797.9,14082.48,27422201.54,1846.8,14848.5,Level 2,Not meeting gap narrowing goals,58,57,71,Level 2,61,64
2130020,Marion E Zeh,Public School,"PK,K,01,02,03,04,05",303,35,11.6,18,5.9,62,20.5,90,29.7,19,6.3,60,17.6,275,10974842,78504,140,25318892.43,1797.9,14082.48,27422201.54,1846.8,14848.5,Level 2,Not meeting gap narrowing goals,70,57,85,Level 2,61,64
2130305,Robert E. Melican Middle School,Public School,"06,07,08",641,79,12.3,13,2,111,17.3,158,24.6,51,8,403,17.4,650,10974842,78504,140,25318892.43,1797.9,14082.48,27422201.54,1846.8,14848.5,Level 2,Not meeting gap narrowing goals,81,68,59,Level 2,61,64
2140001,W Edward Balmer,Public School,"02,03,04",527,28,5.3,16,3,90,17.1,234,44.4,178,33.8,144,23.5,564,11295828,68961,164,28488860.98,2410.6,11818.16,31856742.08,2561.4,12437.24,Level 3,Among lowest performing 20% of schools and subgroups,13,54,67,Level 3,64,61
2140305,Northbridge Middle,Public School,"05,06,07,08",766,16,2.1,10,1.3,135,17.6,267,34.9,193,25.2,353,22.6,783,11295828,68961,164,28488860.98,2410.6,11818.16,31856742.08,2561.4,12437.24,Level 2,Not meeting gap narrowing goals,48,55,49,Level 3,64,61
2140505,Northbridge High,Public School,"09,10,11,12",584,19,3.3,6,1,77,13.2,191,32.7,140,24,409,12.9,604,11295828,68961,164,28488860.98,2410.6,11818.16,31856742.08,2561.4,12437.24,Level 2,Not meeting gap narrowing goals,28,69,72,Level 3,64,61
2150015,North Brookfield Elementary,Public School,"PK,K,01,02,03,04,05,06",329,0,0,0,0,41,12.5,141,42.9,118,35.9,64,21,331,3182071,71668,44,8033517.1,570.2,14088.95,9398864.82,703.9,13352.56,Level 2,2016 Level held harmless,17,50,51,Level 2,46,41
2150505,North Brookfield High,Public School,"07,08,09,10,11,12",230,5,2.2,0,0,28,12.2,92,40,79,34.3,132,13,230,3182071,71668,44,8033517.1,570.2,14088.95,9398864.82,703.9,13352.56,Level 2,Not meeting gap narrowing goals,30,55,49,Level 2,46,41
2170003,E Ethel Little School,Public School,"PK,K,01,02,03,04,05",322,3,0.9,3,0.9,68,21.1,96,29.8,36,11.2,179,17.9,333,14444287,73771,196,34140230.68,2546.2,13408.31,36560937.39,2586.1,14137.48,Level 2,Not meeting gap narrowing goals,83,84,68,Level 2,71,68
2170005,L D Batchelder,Public School,"K,01,02,03,04,05",446,3,0.7,2,0.4,51,11.4,73,16.4,24,5.4,207,22.7,463,14444287,73771,196,34140230.68,2546.2,13408.31,36560937.39,2586.1,14137.48,Level 1,Meeting gap narrowing goals,94,100,100,Level 2,71,68
2170010,J Turner Hood,Public School,"PK,K,01,02,03,04,05",341,2,0.6,1,0.3,65,19.1,87,25.5,39,11.4,223,16,349,14444287,73771,196,34140230.68,2546.2,13408.31,36560937.39,2586.1,14137.48,Level 1,Meeting gap narrowing goals,89,98,100,Level 2,71,68
2170305,North Reading Middle,Public School,"06,07,08",576,7,1.2,3,0.5,115,20,147,25.5,34,5.9,351,17.8,611,14444287,73771,196,34140230.68,2546.2,13408.31,36560937.39,2586.1,14137.48,Level 2,Not meeting gap narrowing goals,74,67,48,Level 2,71,68
2170505,North Reading High,Public School,"09,10,11,12",811,11,1.4,4,0.5,126,15.5,161,19.9,48,5.9,317,20.2,797,14444287,73771,196,34140230.68,2546.2,13408.31,36560937.39,2586.1,14137.48,Level 2,Not meeting gap narrowing goals,74,69,59,Level 2,71,68
2180060,Henri A. Yelle,Public School,"04,05",373,12,3.2,8,2.1,72,19.3,116,31.1,64,17.2,174,22.9,366,12375604,65933,188,30966641.29,2551.7,12135.69,36671000.31,2774.2,13218.59,Level 2,Not meeting gap narrowing goals,59,50,48,Level 2,62,50
2180305,Norton Middle,Public School,"06,07,08",596,6,1,2,0.3,106,17.8,158,26.5,76,12.8,476,16.3,615,12375604,65933,188,30966641.29,2551.7,12135.69,36671000.31,2774.2,13218.59,Level 2,Not meeting gap narrowing goals,78,57,55,Level 2,62,50
2180505,Norton High,Public School,"09,10,11,12",763,8,1,5,0.7,105,13.8,181,23.7,104,13.6,333,19.8,779,12375604,65933,188,30966641.29,2551.7,12135.69,36671000.31,2774.2,13218.59,Level 2,Not meeting gap narrowing goals,56,87,70,Level 2,62,50
2190005,Grace Farrar Cole,Public School,"PK,K,01,02,03,04,05",475,14,2.9,2,0.4,64,13.5,86,18.1,23,4.8,108,19.4,479,12461880,76313,163,30359097.42,2234.8,13584.7,32569860.61,2269.3,14352.38,Level 2,Not meeting gap narrowing goals,75,76,71,Level 2,84,58
2190020,William G Vinal,Public School,"PK,K,01,02,03,04,05",489,3,0.6,1,0.2,73,14.9,82,16.8,10,2,120,18.6,514,12461880,76313,163,30359097.42,2234.8,13584.7,32569860.61,2269.3,14352.38,Level 2,Not meeting gap narrowing goals,72,61,59,Level 2,84,58
2190405,Norwell Middle School,Public School,"06,07,08",519,9,1.7,0,0,84,16.2,96,18.5,18,3.5,445,19.4,543,12461880,76313,163,30359097.42,2234.8,13584.7,32569860.61,2269.3,14352.38,Level 2,Not meeting gap narrowing goals,87,99,52,Level 2,84,58
2190505,Norwell High,Public School,"09,10,11,12",709,5,0.7,0,0,71,10,92,13,25,3.5,311,15.6,686,12461880,76313,163,30359097.42,2234.8,13584.7,32569860.61,2269.3,14352.38,Level 1,Meeting gap narrowing goals,93,99,,Level 2,84,58
2200005,Balch,Public School,"01,02,03,04,05",285,93,32.6,48,16.8,59,20.7,166,58.2,100,35.1,65,18.8,282,19841064,73187,271,49332375.18,3426.8,14396.05,54430718.51,3516.3,15479.54,Level 2,Not meeting gap narrowing goals,30,66,63,Level 2,70,71
2200010,Cornelius M Callahan,Public School,"01,02,03,04,05",202,46,22.8,31,15.3,51,25.2,110,54.5,64,31.7,49,19.5,215,19841064,73187,271,49332375.18,3426.8,14396.05,54430718.51,3516.3,15479.54,Level 1,2016 Level held harmless,88,82,63,Level 2,70,71
2200015,F A Cleveland,Public School,"01,02,03,04,05",340,52,15.3,34,10,78,22.9,140,41.2,67,19.7,72,20.7,337,19841064,73187,271,49332375.18,3426.8,14396.05,54430718.51,3516.3,15479.54,Level 1,2016 Level held harmless,69,69,65,Level 2,70,71
2200020,John P Oldham,Public School,"01,02,03,04,05",234,36,15.4,14,6,45,19.2,100,42.7,59,25.2,53,18.8,226,19841064,73187,271,49332375.18,3426.8,14396.05,54430718.51,3516.3,15479.54,Level 1,Meeting gap narrowing goals,50,85,81,Level 2,70,71
2200025,Charles J Prescott,Public School,"K,01,02,03,04,05",246,49,19.9,25,10.2,40,16.3,89,36.2,31,12.6,58,18.4,248,19841064,73187,271,49332375.18,3426.8,14396.05,54430718.51,3516.3,15479.54,Level 1,Meeting gap narrowing goals,78,89,94,Level 2,70,71
2200305,Dr. Philip O. Coakley Middle School,Public School,"06,07,08",753,113,15,17,2.3,129,17.1,261,34.7,158,21,376,22,769,19841064,73187,271,49332375.18,3426.8,14396.05,54430718.51,3516.3,15479.54,Level 2,Not meeting gap narrowing goals,65,71,70,Level 2,70,71
2200505,Norwood High,Public School,"09,10,11,12",957,133,13.9,41,4.3,149,15.6,319,33.3,195,20.4,592,13.8,983,19841064,73187,271,49332375.18,3426.8,14396.05,54430718.51,3516.3,15479.54,Level 2,Not meeting gap narrowing goals,44,69,73,Level 2,70,71
2210005,Oak Bluffs Elementary,Public School,"PK,K,01,02,03,04,05,06,07,08",437,87,19.9,73,16.7,78,17.8,198,45.3,97,22.2,201,14.6,428,3802890,86824,44,8441362.23,407.2,20730.26,9197513.09,466.1,19732.92,Level 1,Meeting gap narrowing goals,69,81,76,Level 1,81,76
2230010,Dexter Park,Public School,"03,04,05,06",332,8,2.4,7,2.1,93,28,206,62,170,51.2,199,16.3,336,2790291,61325,46,8226564,640.9,12835.96,8861895,714,12411.62,Level 3,Among lowest performing 20% of schools and subgroups,14,56,55,Level 3,59,58
2240005,Orleans Elementary,Public School,"K,01,02,03,04,05",215,8,3.7,7,3.3,35,16.3,70,32.6,47,21.9,154,16.4,213,1830831,73527,25,4639691.11,221.9,20908.93,4894878.11,235.5,20785.05,Level 2,Not meeting gap narrowing goals,89,88,69,Level 2,88,69
2260005,Clara Barton,Public School,"02,03,04",417,0,0,0,0,48,11.5,167,40,142,34.1,60,26.2,315,8895375,65892,135,23724025,1839.3,12898.4,25766304,1963,13125.98,Level 2,Not meeting gap narrowing goals,23,53,53,Level 2,55,56
2260405,Oxford Middle,Public School,"05,06,07",424,7,1.7,1,0.2,69,16.3,177,41.7,135,31.8,220,23.8,587,8895375,65892,135,23724025,1839.3,12898.4,25766304,1963,13125.98,Level 2,Not meeting gap narrowing goals,53,56,63,Level 2,55,56
2260505,Oxford High,Public School,"08,09,10,11,12",538,13,2.4,4,0.7,74,13.8,224,41.6,187,34.8,282,14.4,432,8895375,65892,135,23724025,1839.3,12898.4,25766304,1963,13125.98,Level 1,Meeting gap narrowing goals,21,78,83,Level 2,55,56
2270008,Old Mill Pond,Public School,"PK,K,01,02,03,04,05",693,23,3.3,20,2.9,120,17.3,365,52.7,304,43.9,373,15.7,609,7663615,67521,114,18731712.55,1425.5,13140.45,21655384.55,1533.7,14119.7,Level 2,Not meeting gap narrowing goals,22,64,53,Level 3,47,51
2270305,Converse Middle,Public School,"06,07",248,4,1.6,2,0.8,48,19.4,125,50.4,102,41.1,174,15.4,379,7663615,67521,114,18731712.55,1425.5,13140.45,21655384.55,1533.7,14119.7,Level 2,Not meeting gap narrowing goals,42,59,58,Level 3,47,51
2270505,Palmer High,Public School,"08,09,10,11,12",486,17,3.5,5,1,90,18.5,197,40.5,149,30.7,168,12.2,485,7663615,67521,114,18731712.55,1425.5,13140.45,21655384.55,1533.7,14119.7,Level 3,Among lowest performing 20% of schools and subgroups,17,43,60,Level 3,47,51
2290005,Captain Samuel Brown,Public School,"K,01,02,03,04,05",369,29,7.9,17,4.6,113,30.6,183,49.6,108,29.3,149,16.4,362,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,32,70,65,Level 3,55,52
2290007,John E Burke,Public School,"K,01,02,03,04,05",275,1,0.4,0,0,41,14.9,75,27.3,42,15.3,121,18,288,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,54,71,51,Level 3,55,52
2290010,Thomas Carroll,Public School,"K,01,02,03,04,05",619,114,18.4,86,13.9,76,12.3,365,59,276,44.6,221,21.3,601,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,28,61,60,Level 3,55,52
2290015,Center,Public School,"K,01,02,03,04,05",386,40,10.4,27,7,57,14.8,174,45.1,119,30.8,150,20.2,382,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,29,67,64,Level 3,55,52
2290016,John E. McCarthy,Public School,"PK,K,01,02,03,04,05",353,32,9.1,15,4.2,104,29.5,176,49.9,103,29.2,103,19.6,379,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,66,67,71,Level 3,55,52
2290027,William A Welch Sr,Public School,"PK,K,01,02,03,04,05",372,106,28.5,81,21.8,55,14.8,255,68.5,203,54.6,128,20.7,362,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,31,55,79,Level 3,55,52
2290035,South Memorial,Public School,"PK,K,01,02,03,04,05",465,21,4.5,18,3.9,43,9.2,155,33.3,113,24.3,146,20.9,454,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,41,66,74,Level 3,55,52
2290045,West Memorial,Public School,"PK,K,01,02,03,04,05",238,1,0.4,1,0.4,32,13.4,66,27.7,38,16,99,16.6,261,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 1,Meeting gap narrowing goals,44,93,100,Level 3,55,52
2290305,J Henry Higgins Middle,Public School,"06,07,08",1339,116,8.7,74,5.5,246,18.4,553,41.3,365,27.3,731,19.5,1285,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 2,Not meeting gap narrowing goals,34,58,57,Level 3,55,52
2290510,Peabody Veterans Memorial High,Public School,"09,10,11,12",1540,83,5.4,81,5.3,296,19.2,642,41.7,422,27.4,809,15.7,1588,32973953,75438,437,74997126,5993.4,12513.29,83556463,6191.3,13495.79,Level 3,Among lowest performing 20% of schools,17,60,57,Level 3,55,52
2300005,Pelham Elementary,Public School,"K,01,02,03,04,05,06",132,1,0.8,0,0,29,22,43,32.6,26,19.7,39,17.7,123,801755,70952,11,2180029,122.6,17781.64,2214054,128,17297.3,Level 1,2016 Level held harmless,82,71,,Level 1,71,
2310003,Bryantville Elementary,Public School,"K,01,02,03,04,05,06",514,7,1.4,7,1.4,69,13.4,167,32.5,109,21.2,198,20.1,555,14712685,75527,195,35108532.69,3201.2,10967.3,37867880.35,3302.2,11467.47,Level 2,Not meeting gap narrowing goals,41,67,67,Level 2,60,56
2310010,Hobomock Elementary,Public School,"K,01,02,03,04,05,06",435,4,0.9,4,0.9,54,12.4,82,18.9,35,8,163,18.9,444,14712685,75527,195,35108532.69,3201.2,10967.3,37867880.35,3302.2,11467.47,Level 2,Not meeting gap narrowing goals,83,74,69,Level 2,60,56
2310015,North Pembroke Elementary,Public School,"PK,K,01,02,03,04,05,06",576,13,2.3,7,1.2,76,13.2,133,23.1,70,12.2,208,19.9,631,14712685,75527,195,35108532.69,3201.2,10967.3,37867880.35,3302.2,11467.47,Level 1,Meeting gap narrowing goals,79,82,81,Level 2,60,56
2310305,Pembroke Community Middle School,Public School,"07,08",504,3,0.6,1,0.2,68,13.5,121,24,62,12.3,293,19.5,496,14712685,75527,195,35108532.69,3201.2,10967.3,37867880.35,3302.2,11467.47,Level 2,Not meeting gap narrowing goals,54,52,63,Level 2,60,56
2310505,Pembroke High School,Public School,"09,10,11,12",973,3,0.3,1,0.1,100,10.3,186,19.1,104,10.7,419,18.3,1008,14712685,75527,195,35108532.69,3201.2,10967.3,37867880.35,3302.2,11467.47,Level 2,Not meeting gap narrowing goals,61,78,70,Level 2,60,56
2340005,Petersham Center,Public School,"K,01,02,03,04,05,06",124,0,0,0,0,20,16.1,40,32.3,22,17.7,40,17.2,120,656581,66998,10,1841041,115.8,15898.45,1891041,125.8,15032.12,Level 2,Not meeting gap narrowing goals,37,47,,Level 2,47,
2360010,Allendale,Public School,"K,01,02,03,04,05",282,23,8.2,17,6,38,13.5,170,60.3,146,51.8,91,16.7,299,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 2,2016 Level held harmless,16,60,69,Level 3,55,53
2360035,Egremont,Public School,"K,01,02,03,04,05",469,34,7.2,34,7.2,67,14.3,250,53.3,203,43.3,121,19.9,488,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 2,Not meeting gap narrowing goals,42,76,71,Level 3,55,53
2360045,Robert T. Capeless Elementary School,Public School,"PK,K,01,02,03,04,05",209,3,1.4,0,0,32,15.3,109,52.2,98,46.9,61,15.9,214,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 1,Meeting gap narrowing goals,41,94,80,Level 3,55,53
2360055,Morningside Community School,Public School,"PK,K,01,02,03,04,05",417,22,5.3,22,5.3,70,16.8,326,78.2,312,74.8,132,16.4,445,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 3,Among lowest performing 20% of schools and subgroups,7,68,71,Level 3,55,53
2360065,Crosby,Public School,"PK,K,01,02,03,04,05",439,23,5.2,19,4.3,157,35.8,347,79,316,72,104,15.6,455,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 3,Among lowest performing 20% of schools,20,70,66,Level 3,55,53
2360090,Stearns,Public School,"K,01,02,03,04,05",235,5,2.1,3,1.3,45,19.1,114,48.5,100,42.6,65,17.2,235,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 1,Meeting gap narrowing goals,74,89,91,Level 3,55,53
2360100,Williams,Public School,"K,01,02,03,04,05",323,17,5.3,16,5,45,13.9,125,38.7,89,27.6,90,17.6,317,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 1,Meeting gap narrowing goals,84,82,75,Level 3,55,53
2360105,Silvio O Conte Community,Public School,"PK,K,01,02,03,04,05",362,44,12.2,33,9.1,47,13,304,84,286,79,111,16,366,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 3,Among lowest performing 20% of schools and subgroups,5,68,75,Level 3,55,53
2360305,John T Reid Middle,Public School,"06,07,08",555,44,7.9,20,3.6,143,25.8,360,64.9,294,53,345,15.9,545,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 2,Not meeting gap narrowing goals,22,61,54,Level 3,55,53
2360310,Theodore Herberg Middle,Public School,"06,07,08",629,46,7.3,25,4,129,20.5,330,52.5,272,43.2,341,16.9,639,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 2,Not meeting gap narrowing goals,23,59,56,Level 3,55,53
2360505,Pittsfield High,Public School,"09,10,11,12",861,89,10.3,47,5.5,221,25.7,436,50.6,331,38.4,475,13.8,885,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 3,Among lowest performing 20% of schools and subgroups,7,61,48,Level 3,55,53
2360510,Taconic High,Public School,"09,10,11,12",706,36,5.1,9,1.3,124,17.6,346,49,287,40.7,447,11.8,718,31392932,64515,487,85450790.19,5781.5,14780.04,93439283.19,6462,14459.81,Level 3,Among lowest performing 20% of schools,16,63,56,Level 3,55,53
2380005,Beatrice H Wood Elementary,Public School,"04,05,06",306,27,8.8,9,2.9,51,16.7,94,30.7,46,15,75,21.2,318,3558247,69227,51,10072042.68,733.9,13724,11038030.1,758.7,14548.61,Level 1,Meeting gap narrowing goals,72,76,75,Level 2,82,75
2390005,Cold Spring,Public School,"K,01,02,03,04,05",248,33,13.3,11,4.4,27,10.9,96,38.7,74,29.8,128,19.9,239,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 1,2016 Level held harmless,43,74,74,Level 2,59,56
2390010,Hedge,Public School,"K,01,02,03,04,05",210,36,17.1,19,9,37,17.6,129,61.4,110,52.4,137,17.7,223,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,2016 Level held harmless,17,63,52,Level 2,59,56
2390011,Federal Furnace School,Public School,"K,01,02,03,04,05",412,6,1.5,0,0,96,23.3,181,43.9,130,31.6,257,16,385,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,41,69,46,Level 2,59,56
2390012,Indian Brook,Public School,"K,01,02,03,04,05",566,0,0,0,0,75,13.3,161,28.4,102,18,322,21.8,610,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,44,61,56,Level 2,59,56
2390015,Manomet Elementary,Public School,"K,01,02,03,04,05",304,1,0.3,1,0.3,48,15.8,102,33.6,69,22.7,177,19.7,309,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 1,2016 Level held harmless,75,74,82,Level 2,59,56
2390030,Nathaniel Morton Elementary,Public School,"K,01,02,03,04,05",591,37,6.3,13,2.2,72,12.2,189,32,139,23.5,323,19.8,590,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,47,60,56,Level 2,59,56
2390046,South Elementary,Public School,"K,01,02,03,04",549,1,0.2,0,0,83,15.1,185,33.7,126,23,347,17.6,624,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 1,Meeting gap narrowing goals,49,86,80,Level 2,59,56
2390047,West Elementary,Public School,"K,01,02,03,04,05",389,6,1.5,1,0.3,72,18.5,142,36.5,105,27,240,16.1,382,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,50,55,55,Level 2,59,56
2390305,Plymouth South Middle,Public School,"05,06,07,08",837,7,0.8,0,0,164,19.6,259,30.9,157,18.8,447,21.2,850,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,39,51,46,Level 2,59,56
2390405,Plymouth Commun Intermediate,Public School,"06,07,08",997,30,3,9,0.9,224,22.5,401,40.2,268,26.9,589,19.3,1015,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,38,49,60,Level 2,59,56
2390505,Plymouth North High,Public School,"09,10,11,12",1307,56,4.3,20,1.5,218,16.7,455,34.8,309,23.6,887,16.2,1278,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,23,69,52,Level 2,59,56
2390515,Plymouth South High,Public School,"09,10,11,12",1026,5,0.5,0,0,213,20.8,323,31.5,169,16.5,793,13.4,1006,41136945,66619,618,111686604.6,7700.4,14504,125135832.3,8378.9,14934.64,Level 2,Not meeting gap narrowing goals,32,70,52,Level 2,59,56
2400010,Dennett Elementary,Public School,"K,01,02,03,04,05,06",209,0,0,0,0,34,16.3,71,34,42,20.1,104,15.8,221,1304162,71657,18,2928459.17,217.9,13439.46,3778225.41,233.7,16166.99,Level 1,2016 Level held harmless,65,59,66,Level 1,59,66
2420020,Provincetown Schools,Public School,"PK,K,01,02,03,04,05,06,07,08",129,28,21.7,22,17.1,24,18.6,79,61.2,48,37.2,99,12.5,129,1513916,79680,19,4351211.63,112.2,38780.85,5396343.84,176.9,30505.05,Level 2,Not meeting gap narrowing goals,64,74,100,Level 2,74,100
2430020,Beechwood Knoll Elementary,Public School,"K,01,02,03,04,05",350,123,35.1,59,16.9,27,7.7,165,47.1,105,30,154,18.1,357,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 2,Not meeting gap narrowing goals,77,67,72,Level 3,70,63
2430025,Charles A Bernazzani Elementary,Public School,"K,01,02,03,04,05",342,84,24.6,49,14.3,47,13.7,155,45.3,78,22.8,146,17.9,341,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 2,Not meeting gap narrowing goals,64,68,83,Level 3,70,63
2430035,Lincoln-Hancock Community School,Public School,"K,01,02,03,04",508,218,42.9,155,30.5,38,7.5,344,67.7,237,46.7,193,18.4,476,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 3,Among lowest performing 20% of schools,20,72,81,Level 3,70,63
2430040,Atherton Hough,Public School,"K,01,02,03,04,05",268,33,12.3,27,10.1,74,27.6,127,47.4,75,28,148,14,268,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 2,Not meeting gap narrowing goals,36,69,75,Level 3,70,63
2430055,Clifford H Marshall Elementary,Public School,"K,01,02,03,04",575,292,50.8,107,18.6,62,10.8,384,66.8,254,44.2,249,16.5,559,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 2,Not meeting gap narrowing goals,26,63,60,Level 3,70,63
2430060,Merrymount,Public School,"K,01,02,03,04,05",350,106,30.3,61,17.4,49,14,174,49.7,87,24.9,145,18.6,356,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 1,Meeting gap narrowing goals,90,92,99,Level 3,70,63
2430065,Montclair,Public School,"K,01,02,03,04,05",429,256,59.7,156,36.4,29,6.8,285,66.4,146,34,177,18.1,414,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 1,Meeting gap narrowing goals,53,81,90,Level 3,70,63
2430075,Francis W Parker,Public School,"K,01,02,03,04,05",323,239,74,149,46.1,37,11.5,265,82,160,49.5,142,16.3,308,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 1,Meeting gap narrowing goals,43,78,89,Level 3,70,63
2430090,Snug Harbor Community School,Public School,"PK,K,01,02,03,04,05",428,167,39,85,19.9,152,35.5,345,80.6,245,57.2,218,11.4,444,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 2,Not meeting gap narrowing goals,27,63,67,Level 3,70,63
2430095,Squantum,Public School,"K,01,02,03,04,05",338,76,22.5,41,12.1,67,19.8,153,45.3,81,24,167,14.8,324,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 2,Not meeting gap narrowing goals,59,76,71,Level 3,70,63
2430110,Wollaston School,Public School,"K,01,02,03,04,05",338,202,59.8,120,35.5,21,6.2,212,62.7,121,35.8,150,17.6,350,52801618,76182,693,132524270.2,9044.4,14652.63,148372694.7,9260.2,16022.62,Level 2,Not meeting gap narrowing goals,70,70,72,Level 3,70,63
